Total Steps:  950 Episode:  1 Reward:  47.79999999999479 Episode TimeSteps:  950 Sand Penalty:  467.2 NonSand Reward:  360 Distance Reward:  500 Goal Reward:  -94.99999999999888
Total Steps:  1703 Episode:  2 Reward:  504.9999999999851 Episode TimeSteps:  753 Sand Penalty:  826.9 NonSand Reward:  900 Distance Reward:  1300 Goal Reward:  -170.2999999999946
Total Steps:  2703 Episode:  3 Reward:  154.30000000000229 Episode TimeSteps:  1000 Sand Penalty:  1302.6 NonSand Reward:  1390 Distance Reward:  1780 Goal Reward:  -270.29999999999296
Total Steps:  3203 Episode:  4 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  1553.8 NonSand Reward:  1390 Distance Reward:  1780 Goal Reward:  -320.30000000000433
Total Steps:  4203 Episode:  5 Reward:  2005.8000000000834 Episode TimeSteps:  1000 Sand Penalty:  1988.0 NonSand Reward:  2710 Distance Reward:  4220 Goal Reward:  -420.30000000002707
Total Steps:  4230 Episode:  6 Reward:  78.60000000000001 Episode TimeSteps:  27 Sand Penalty:  2006.7 NonSand Reward:  2810 Distance Reward:  4220 Goal Reward:  -423.0000000000277
Total Steps:  4746 Episode:  7 Reward:  -132.7999999999986 Episode TimeSteps:  516 Sand Penalty:  2257.9 NonSand Reward:  2970 Distance Reward:  4240 Goal Reward:  -474.6000000000394
Total Steps:  5313 Episode:  8 Reward:  410.39999999999895 Episode TimeSteps:  567 Sand Penalty:  2520.7999999999997 NonSand Reward:  3590 Distance Reward:  4460 Goal Reward:  -531.3000000000523
Total Steps:  5790 Episode:  9 Reward:  161.10000000000267 Episode TimeSteps:  477 Sand Penalty:  2751.9999999999995 NonSand Reward:  3940 Distance Reward:  4640 Goal Reward:  -579.0000000000631
Total Steps:  6790 Episode:  10 Reward:  1176.30000000002 Episode TimeSteps:  1000 Sand Penalty:  3205.6999999999994 NonSand Reward:  4870 Distance Reward:  6240 Goal Reward:  -679.0000000000858
Total Steps:  7790 Episode:  11 Reward:  2034.3000000000434 Episode TimeSteps:  1000 Sand Penalty:  3641.399999999999 NonSand Reward:  6160 Distance Reward:  8800 Goal Reward:  -779.0000000001086
Total Steps:  8636 Episode:  12 Reward:  41.20000000000162 Episode TimeSteps:  846 Sand Penalty:  4055.599999999999 NonSand Reward:  6540 Distance Reward:  9120 Goal Reward:  -863.6000000001278
Total Steps:  9298 Episode:  13 Reward:  -23.89999999999769 Episode TimeSteps:  662 Sand Penalty:  4383.299999999999 NonSand Reward:  6810 Distance Reward:  9320 Goal Reward:  -929.8000000001429
Total Steps:  9325 Episode:  14 Reward:  15.099999999999968 Episode TimeSteps:  27 Sand Penalty:  4405.499999999999 NonSand Reward:  6840 Distance Reward:  9340 Goal Reward:  -932.5000000001435
Total Steps:  9834 Episode:  15 Reward:  -132.0999999999986 Episode TimeSteps:  509 Sand Penalty:  4656.699999999999 NonSand Reward:  6930 Distance Reward:  9500 Goal Reward:  -983.400000000155
Total Steps:  10610 Episode:  16 Reward:  -234.29999999999694 Episode TimeSteps:  776 Sand Penalty:  5043.399999999999 NonSand Reward:  7160 Distance Reward:  9500 Goal Reward:  -1061.0000000001305
Total Steps:  11358 Episode:  17 Reward:  -334.50000000000057 Episode TimeSteps:  748 Sand Penalty:  5413.0999999999985 NonSand Reward:  7270 Distance Reward:  9500 Goal Reward:  -1135.8000000000625
Total Steps:  11837 Episode:  18 Reward:  17.400000000001803 Episode TimeSteps:  479 Sand Penalty:  5647.799999999998 NonSand Reward:  7570 Distance Reward:  9500 Goal Reward:  -1183.700000000019
Total Steps:  12337 Episode:  19 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  5898.999999999998 NonSand Reward:  7570 Distance Reward:  9500 Goal Reward:  -1233.6999999999734
Total Steps:  12837 Episode:  20 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  6150.199999999998 NonSand Reward:  7570 Distance Reward:  9500 Goal Reward:  -1283.699999999928
Total Steps:  13837 Episode:  21 Reward:  445.2999999999897 Episode TimeSteps:  1000 Sand Penalty:  6624.899999999998 NonSand Reward:  8080 Distance Reward:  10520 Goal Reward:  -1383.699999999837
Total Steps:  14444 Episode:  22 Reward:  255.1000000000016 Episode TimeSteps:  607 Sand Penalty:  6909.099999999998 NonSand Reward:  8670 Distance Reward:  10540 Goal Reward:  -1444.3999999997818
Total Steps:  15347 Episode:  23 Reward:  66.5000000000035 Episode TimeSteps:  903 Sand Penalty:  7352.299999999997 NonSand Reward:  9040 Distance Reward:  11000 Goal Reward:  -1534.6999999996997
Total Steps:  16117 Episode:  24 Reward:  481.3000000000003 Episode TimeSteps:  770 Sand Penalty:  7713.999999999997 NonSand Reward:  9710 Distance Reward:  11500 Goal Reward:  -1611.6999999996297
Total Steps:  17075 Episode:  25 Reward:  -247.99999999999707 Episode TimeSteps:  958 Sand Penalty:  8186.199999999997 NonSand Reward:  9870 Distance Reward:  11820 Goal Reward:  -1707.4999999995425
Total Steps:  17618 Episode:  26 Reward:  -125.99999999999864 Episode TimeSteps:  543 Sand Penalty:  8457.899999999998 NonSand Reward:  10070 Distance Reward:  11820 Goal Reward:  -1761.7999999994931
Total Steps:  17785 Episode:  27 Reward:  -110.39999999999976 Episode TimeSteps:  167 Sand Penalty:  8551.599999999999 NonSand Reward:  10070 Distance Reward:  11820 Goal Reward:  -1778.499999999478
Total Steps:  18501 Episode:  28 Reward:  227.19999999999897 Episode TimeSteps:  716 Sand Penalty:  8902.8 NonSand Reward:  10410 Distance Reward:  12440 Goal Reward:  -1850.0999999994128
Total Steps:  19351 Episode:  29 Reward:  -285.6999999999981 Episode TimeSteps:  850 Sand Penalty:  9323.5 NonSand Reward:  10520 Distance Reward:  12660 Goal Reward:  -1935.0999999993355
Total Steps:  20153 Episode:  30 Reward:  1434.8000000000675 Episode TimeSteps:  802 Sand Penalty:  9678.5 NonSand Reward:  11460 Distance Reward:  14520 Goal Reward:  -2015.2999999992626
Total Steps:  21153 Episode:  31 Reward:  -369.20000000000203 Episode TimeSteps:  1000 Sand Penalty:  10167.7 NonSand Reward:  11680 Distance Reward:  14520 Goal Reward:  -2115.2999999991716
Total Steps:  22153 Episode:  32 Reward:  1435.800000000046 Episode TimeSteps:  1000 Sand Penalty:  10601.900000000001 NonSand Reward:  13000 Distance Reward:  15820 Goal Reward:  -2215.2999999990807
Total Steps:  23153 Episode:  33 Reward:  -85.19999999999858 Episode TimeSteps:  1000 Sand Penalty:  11087.100000000002 NonSand Reward:  13300 Distance Reward:  16220 Goal Reward:  -2315.2999999989897
Total Steps:  23688 Episode:  34 Reward:  -117.19999999999855 Episode TimeSteps:  535 Sand Penalty:  11350.800000000003 NonSand Reward:  13400 Distance Reward:  16420 Goal Reward:  -2368.799999998941
Total Steps:  24688 Episode:  35 Reward:  2211.3000000000693 Episode TimeSteps:  1000 Sand Penalty:  11769.500000000004 NonSand Reward:  15030 Distance Reward:  18620 Goal Reward:  -2468.79999999885
Total Steps:  25486 Episode:  36 Reward:  1111.9999999999854 Episode TimeSteps:  798 Sand Penalty:  12127.700000000004 NonSand Reward:  16050 Distance Reward:  19680 Goal Reward:  -2548.5999999987775
Total Steps:  25570 Episode:  37 Reward:  -60.60000000000007 Episode TimeSteps:  84 Sand Penalty:  12179.900000000005 NonSand Reward:  16050 Distance Reward:  19680 Goal Reward:  -2556.99999999877
Total Steps:  26570 Episode:  38 Reward:  378.79999999998586 Episode TimeSteps:  1000 Sand Penalty:  12651.100000000006 NonSand Reward:  16630 Distance Reward:  20420 Goal Reward:  -2656.999999998679
Total Steps:  27570 Episode:  39 Reward:  45.29999999999851 Episode TimeSteps:  1000 Sand Penalty:  13125.800000000007 NonSand Reward:  17140 Distance Reward:  20640 Goal Reward:  -2756.999999998588
Total Steps:  28041 Episode:  40 Reward:  137.2000000000014 Episode TimeSteps:  471 Sand Penalty:  13351.500000000007 NonSand Reward:  17540 Distance Reward:  20660 Goal Reward:  -2804.099999998545
Total Steps:  28768 Episode:  41 Reward:  -170.89999999999807 Episode TimeSteps:  727 Sand Penalty:  13709.700000000008 NonSand Reward:  17670 Distance Reward:  20920 Goal Reward:  -2876.799999998479
Total Steps:  29768 Episode:  42 Reward:  -369.20000000000107 Episode TimeSteps:  1000 Sand Penalty:  14198.900000000009 NonSand Reward:  17890 Distance Reward:  20920 Goal Reward:  -2976.799999998388
Total Steps:  30768 Episode:  43 Reward:  1638.3000000000447 Episode TimeSteps:  1000 Sand Penalty:  14620.60000000001 NonSand Reward:  19460 Distance Reward:  22100 Goal Reward:  -3076.799999998297
Total Steps:  31768 Episode:  44 Reward:  1752.8000000000854 Episode TimeSteps:  1000 Sand Penalty:  15057.80000000001 NonSand Reward:  20720 Distance Reward:  24160 Goal Reward:  -3176.799999998206
Total Steps:  32768 Episode:  45 Reward:  1568.8000000000518 Episode TimeSteps:  1000 Sand Penalty:  15499.000000000011 NonSand Reward:  21900 Distance Reward:  26020 Goal Reward:  -3276.7999999981153
Total Steps:  33768 Episode:  46 Reward:  2090.800000000065 Episode TimeSteps:  1000 Sand Penalty:  15928.200000000012 NonSand Reward:  23320 Distance Reward:  28420 Goal Reward:  -3376.7999999980243
Total Steps:  34768 Episode:  47 Reward:  0.8000000000018598 Episode TimeSteps:  1000 Sand Penalty:  16407.400000000012 NonSand Reward:  23740 Distance Reward:  28740 Goal Reward:  -3476.7999999979334
Total Steps:  35751 Episode:  48 Reward:  -465.0000000000063 Episode TimeSteps:  983 Sand Penalty:  16894.100000000013 NonSand Reward:  23860 Distance Reward:  28740 Goal Reward:  -3575.099999997844
Total Steps:  36465 Episode:  49 Reward:  -204.09999999999818 Episode TimeSteps:  714 Sand Penalty:  17246.800000000014 NonSand Reward:  23970 Distance Reward:  28960 Goal Reward:  -3646.499999997779
Total Steps:  36965 Episode:  50 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  17498.000000000015 NonSand Reward:  23970 Distance Reward:  28960 Goal Reward:  -3696.4999999977335
Total Steps:  37465 Episode:  51 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  17749.200000000015 NonSand Reward:  23970 Distance Reward:  28960 Goal Reward:  -3746.499999997688
Total Steps:  37965 Episode:  52 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  18000.400000000016 NonSand Reward:  23970 Distance Reward:  28960 Goal Reward:  -3796.4999999976426
Total Steps:  38702 Episode:  53 Reward:  946.8000000000383 Episode TimeSteps:  737 Sand Penalty:  18319.900000000016 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -3870.1999999975756
Total Steps:  39202 Episode:  54 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  18571.100000000017 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -3920.19999999753
Total Steps:  39702 Episode:  55 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  18822.300000000017 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -3970.1999999974846
Total Steps:  40202 Episode:  56 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  19073.50000000002 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -4020.199999997439
Total Steps:  40702 Episode:  57 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  19324.70000000002 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -4070.1999999973937
Total Steps:  41202 Episode:  58 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  19575.90000000002 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -4120.199999997458
Total Steps:  41702 Episode:  59 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  19827.10000000002 NonSand Reward:  24970 Distance Reward:  29640 Goal Reward:  -4170.19999999764
