Total Steps:  1000 Episode:  1 Reward:  183.3000000000036 Episode TimeSteps:  1000 Sand Penalty:  476.5 NonSand Reward:  470 Distance Reward:  580 Boundary Penalty:  0 Goal Reward:  0 Goal Penalty:  99.9999999999986
Reached the target B: x: 1024.8830225728493, y: 401.7420492580582
Total Steps:  2000 Episode:  2 Reward:  3907.400000000056 Episode TimeSteps:  1000 Sand Penalty:  854.0 NonSand Reward:  2920 Distance Reward:  4380 Boundary Penalty:  0 Goal Reward:  35 Goal Penalty:  199.89999999999293
Total Steps:  3000 Episode:  3 Reward:  3843.300000000032 Episode TimeSteps:  1000 Sand Penalty:  1240.5 NonSand Reward:  5190 Distance Reward:  8500 Boundary Penalty:  0 Goal Reward:  35 Goal Penalty:  299.8999999999997
Total Steps:  3500 Episode:  4 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  1490.5 NonSand Reward:  5190 Distance Reward:  8500 Boundary Penalty:  0 Goal Reward:  35 Goal Penalty:  349.90000000001106
Total Steps:  4000 Episode:  5 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  1740.5 NonSand Reward:  5190 Distance Reward:  8500 Boundary Penalty:  0 Goal Reward:  35 Goal Penalty:  399.90000000002243
Total Steps:  4500 Episode:  6 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  1990.5 NonSand Reward:  5190 Distance Reward:  8500 Boundary Penalty:  0 Goal Reward:  35 Goal Penalty:  449.9000000000338
Total Steps:  5000 Episode:  7 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  2240.5 NonSand Reward:  5190 Distance Reward:  8500 Boundary Penalty:  0 Goal Reward:  35 Goal Penalty:  499.90000000004517
Total Steps:  5500 Episode:  8 Reward:  -301.2 Episode TimeSteps:  500 Sand Penalty:  2490.5 NonSand Reward:  5190 Distance Reward:  8500 Boundary Penalty:  0 Goal Reward:  35 Goal Penalty:  549.9000000000565
Total Steps:  5602 Episode:  9 Reward:  33.60000000000001 Episode TimeSteps:  102 Sand Penalty:  2536.5 NonSand Reward:  5290 Distance Reward:  8500 Boundary Penalty:  10 Goal Reward:  35 Goal Penalty:  560.1000000000588
Total Steps:  5603 Episode:  10 Reward:  -10.799999999999999 Episode TimeSteps:  1 Sand Penalty:  2537.0 NonSand Reward:  5290 Distance Reward:  8500 Boundary Penalty:  20 Goal Reward:  35 Goal Penalty:  560.2000000000588
Total Steps:  5604 Episode:  11 Reward:  -10.799999999999999 Episode TimeSteps:  1 Sand Penalty:  2537.5 NonSand Reward:  5290 Distance Reward:  8500 Boundary Penalty:  30 Goal Reward:  35 Goal Penalty:  560.3000000000588
Total Steps:  5605 Episode:  12 Reward:  -10.799999999999999 Episode TimeSteps:  1 Sand Penalty:  2538.0 NonSand Reward:  5290 Distance Reward:  8500 Boundary Penalty:  40 Goal Reward:  35 Goal Penalty:  560.4000000000589
